TEST BATCH;INSTANCE;NUMBER CUSTOMERS;GAMMAT;DEVIATIONT;RUNTIME;RESULT;RESULT DESCRIPTION;INCUMBENT;BEST BOUND;MIP ABSOLUTE GAP;MIP RELATIVE GAP
F;RC103;25;1;0.1;3600.05;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;544.6;460.1;84.5;0.1552
F;RC104;25;1;0.1;3600.04;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;521.4;435.2;86.2;0.1653
F;RC105;25;1;0.1;3422.58;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;618.6;618.6;0;0
F;RC106;25;1;0.1;1573.16;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;563.5;563.5;0;0
F;RC107;25;1;0.1;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;461.6;426.3;35.3;0.0765
F;RC108;25;1;0.1;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;493.3;455;38.3;0.0776
F;RC201;25;1;0.1;4.17;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;578;578;0;0
F;RC202;25;1;0.1;3600.01;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;562.1;490.9;71.2;0.1267
F;RC203;25;1;0.1;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;511.5;294.4;217.1;0.4244
F;RC204;25;1;0.1;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;424.3;267.3;157;0.37
F;RC205;25;1;0.1;21.92;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;553.7;553.7;0;0
F;RC206;25;1;0.1;1547.85;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;515.5;515.5;0;0
F;RC207;25;1;0.1;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;482.7;360.5;122.2;0.2532
F;RC208;25;1;0.1;3600.05;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;385;252.8;132.2;0.3434
F;C101;25;1;0.25;1.3;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;303.2;303.2;0;0
F;C102;25;1;0.25;3115.91;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;288.7;288.7;0;0
F;C103;25;1;0.25;3600.05;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;275.1;260.6;14.5;0.0527
F;C104;25;1;0.25;3600.04;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;321.1;258.2;62.9;0.1959
F;C105;25;1;0.25;1.88;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;279.2;279.2;0;0
F;C106;25;1;0.25;1.44;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;324.4;324.4;0;0
F;C107;25;1;0.25;1.81;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;287.4;287.4;0;0
F;C108;25;1;0.25;36.34;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;322.8;322.8;0;0
F;C109;25;1;0.25;384.09;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;281.7;281.7;0;0
F;C201;25;1;0.25;1.2;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;360.3;360.3;0;0
F;C202;25;1;0.25;38.3;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;356.2;356.2;0;0
F;C203;25;1;0.25;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;342.8;294.5;48.3;0.1409
F;C204;25;1;0.25;3600.01;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;347.8;284.2;63.6;0.1829
F;C205;25;1;0.25;2.16;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;350.4;350.4;0;0
F;C206;25;1;0.25;3.72;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;349.3;349.3;0;0
F;C207;25;1;0.25;87.8;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;341.8;341.8;0;0
F;C208;25;1;0.25;121.25;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;314.4;314.4;0;0
F;R101;25;1;0.25;0.63;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;893.1;893.1;0;0
F;R102;25;1;0.25;30.64;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;706.2;706.2;0;0
F;R103;25;1;0.25;2029.75;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;587.6;587.6;0;0
F;R104;25;1;0.25;3600;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;603.5;529.7;73.8;0.1223
F;R105;25;1;0.25;1.08;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;673.7;673.7;0;0
